plate_map_name	Batch	allele_set	SourceID	SYMBOL	entry_plate	entry_well	entry_numb	entry_well_id	dest_plate	dest_well	dest_numb	node_type	aa_change	c96	r96	r384	c384	r384_letter	well_position	384ID	allele
B6A4R2_P1	6	4	VarChAMP_controls _ADA	ADA	VarChAMP_controls			ADA_	VarChAMP_Candidate_Scramble_Q1	A01	1	cPC		1	1	1	1	A	A01	1_1	ADA_
B6A4R2_P1	6	4	VarChAMP_controls _ALDH2	ALDH2	VarChAMP_controls			ALDH2_	VarChAMP_Candidate_Scramble_Q1	B01	2	cPC		1	2	3	1	C	C01	3_1	ALDH2_
B6A4R2_P1	6	4	VarChAMP_controls _BRD4	BRD4	VarChAMP_controls			BRD4_	VarChAMP_Candidate_Scramble_Q1	C01	3	cPC		1	3	5	1	E	E01	5_1	BRD4_
B6A4R2_P1	6	4	VarChAMP_controls _CHRM3	CHRM3	VarChAMP_controls			CHRM3_	VarChAMP_Candidate_Scramble_Q1	D01	4	cPC		1	4	7	1	G	G01	7_1	CHRM3_
B6A4R2_P1	6	4	VarChAMP_controls _ALK	ALK	VarChAMP_controls			ALK_	VarChAMP_Candidate_Scramble_Q1	E01	5	PC		1	5	9	1	I	I01	9_1	ALK_
B6A4R2_P1	6	4	VarChAMP_controls _CSK	CSK	VarChAMP_controls			CSK_	VarChAMP_Candidate_Scramble_Q1	F01	6	cPC		1	6	11	1	K	K01	11_1	CSK_
B6A4R2_P1	6	4	VarChAMP_controls _LPAR1_81134	LPAR1_81134	VarChAMP_controls			LPAR1_81134_	VarChAMP_Candidate_Scramble_Q1	G01	7	cPC		1	7	13	1	M	M01	13_1	LPAR1_81134_
B6A4R2_P1	6	4	VarChAMP_controls _GHSR	GHSR	VarChAMP_controls			GHSR_	VarChAMP_Candidate_Scramble_Q1	H01	8	cPC		1	8	15	1	O	O01	15_1	GHSR_
B6A4R2_P1	6	4	VarChAMP_controls _KCNQ2	KCNQ2	VarChAMP_controls			KCNQ2_	VarChAMP_Candidate_Scramble_Q1	A02	9	cPC		2	1	1	3	A	A03	1_3	KCNQ2_
B6A4R2_P1	6	4	VarChAMP_controls _ALK	ALK	VarChAMP_controls			ALK_	VarChAMP_Candidate_Scramble_Q1	B02	10	PC		2	2	3	3	C	C03	3_3	ALK_
B6A4R2_P1	6	4	VarChAMP_controls _KRAS	KRAS	VarChAMP_controls			KRAS_	VarChAMP_Candidate_Scramble_Q1	C02	11	cPC		2	3	5	3	E	E03	5_3	KRAS_
B6A4R2_P1	6	4	VarChAMP_controls _ALK	ALK	VarChAMP_controls			ALK_	VarChAMP_Candidate_Scramble_Q1	D02	12	cPPC	T1151M	2	4	7	3	G	G03	7_3	ALK_T1151M
B6A4R2_P1	6	4	VarChAMP_controls _LPAR1_81091	LPAR1_81091	VarChAMP_controls			LPAR1_81091_	VarChAMP_Candidate_Scramble_Q1	E02	13	cPC		2	5	9	3	I	I03	9_3	LPAR1_81091_
B6A4R2_P1	6	4	VarChAMP_controls _LPAR1_81134	LPAR1_81134	VarChAMP_controls			LPAR1_81134_	VarChAMP_Candidate_Scramble_Q1	F02	14	cPC		2	6	11	3	K	K03	11_3	LPAR1_81134_
B6A4R2_P1	6	4	VarChAMP_controls _LYN	LYN	VarChAMP_controls			LYN_	VarChAMP_Candidate_Scramble_Q1	G02	15	cPC		2	7	13	3	M	M03	13_3	LYN_
